ids,gender,currenrl,compgrad,currlive,parbrkup,FAITH1,prayansr,miracle,comitgod,attreg,churtype,ATTEND1,ATHEIST1,WORKHRS1,socnet,SOCNET4,god,drink,drunk,smoke,pot,fight,trauma,future,GUILT1,meanless,body,lifesat,helpless,sad,accepted,alienate,invisibl,health,earnings,debt,agecats,bmi,employst
2814,Male,"Yes, enrolled in school",Three years of college,"Group quarters, like a dorm, sorority, or fraternity house",1,Very,Yes,Yes,Yes,Yes,Baptist,Once a week,,0,Yes,About once a day,Yes,About once a month,Once or twice,A few times a year,Never,Never,Yes,Very often,Fairly often,Never,Somewhat happy,Agree,Strongly disagree,Rarely,A lot,None,None,Excellent,"$4,001 - $6,000",No debt,21,23.10979652,In school only
2822,Female,"Yes, enrolled in school",12th grade,"Group quarters, like a dorm, sorority, or fraternity house",0,Somewhat,Yes,No,No,No,,,,7,No,,Yes,About once a week,Three or four times,About once a week,Never,Never,No,Very often,Sometimes,Never,Somewhat happy,Disagree,Agree,Sometimes,A lot,Some,None,Fair,"$22,001 - $24,000","$801 - $1,000",22,24.62932587,Employed and school
2826,Female,"No, not in school",One year of college,Your own place,2,Not very,No,No,No,No,,,Not religious,70,Yes,Three to five days a week,Unsure/Don't know,Once a day or more,Three or four times,About once a month,A few times a week,Never,Yes,Very often,Rarely,Sometimes,Somewhat unhappy,Agree,Disagree,Sometimes,A lot,Some,A little,Good,"$18,001 - $20,000","$1,801 - $2,000",21,20.80306053,Employed
2837,Female,"No, not in school",One year of vocational/technical school,Another person's home,0,Somewhat,Yes,No,Yes,Yes,Methodist,A few times a year,,40,No,,Yes,A few times a month,Never,Never,Never,Never,No,Fairly often,Fairly often,Never,Somewhat unhappy,Agree,Disagree,Rarely,A lot,None,None,Good,"$20,001 - $22,000","$9,801 - $10,000",22,23.62528801,Employed
2848,Male,"Yes, enrolled in school",One year of college,"Group quarters, like a dorm, sorority, or fraternity house",0,Not very,No,No,No,No,,,Agnostic,0,Yes,Several times a day,Unsure/Don't know,Never,,Never,Never,Never,No,Very often,Fairly often,Rarely,Neither,Agree,Agree,Rarely,Some,Some,Some,Good,No income,No debt,20,26.62285614,In school only
2853,Male,"Yes, enrolled in school",One year of college,"Group quarters, like a dorm, sorority, or fraternity house",0,Somewhat,No,No,No,No,,,,0,Yes,Several times a day,Yes,A few times a week,Once or twice,A few times a week,Once a day or more,Once or twice,Yes,Fairly often,Rarely,Rarely,Somewhat unhappy,Agree,Disagree,Sometimes,A lot,A little,A little,Good,"$2,001 - $4,000",No debt,19,25.76581764,In school only
2855,Female,"Yes, enrolled in school",Three years of college,Your own place,2,Not very,No,No,No,No,,,Not religious,40,Yes,One to two days a week,Unsure/Don't know,A few times a week,Three or four times,Never,A few times a year,Once or twice,No,Fairly often,Fairly often,Sometimes,Somewhat happy,Disagree,Disagree,Sometimes,Some,Some,None,Excellent,"$18,001 - $20,000","$3,801 - $4,000",21,20.20204926,Employed and school
2859,Female,"Yes, enrolled in school",12th grade,Your own place,0,Somewhat,Yes,Yes,No,Yes,Baptist,A few times a year,,45,Yes,Several times a day,Yes,A few times a week,Never,Once a day or more,Never,Never,No,Fairly often,Very often,Sometimes,Somewhat unhappy,Disagree,Strongly agree,Always,A little,A lot,Some,Very good,"$4,001 - $6,000",No debt,21,27.11767578,Employed and school
2862,Female,"Yes, enrolled in school",Two years of college,Your parent's home,1,Extremely important,Yes,Yes,Yes,Yes,Baptist,More than once a week,,10,Yes,Less than every few weeks,Yes,Never,,Never,Never,Never,No,Very often,Sometimes,Never,Somewhat happy,Agree,Disagree,Sometimes,A lot,A little,None,Fair,"$4,001 - $6,000","$1,401 - $1,600",19,18.51491547,Employed and school
2865,Female,"Yes, enrolled in school",12th grade,Your parent's home,2,Very,Yes,No,No,Yes,,2-3 times a month,,47,Yes,One to two days a week,Yes,Never,,Never,Never,Once or twice,Yes,Very often,Fairly often,Never,Very happy,Agree,Disagree,Rarely,A lot,Some,None,Good,"$10,001 - 12,000",No debt,19,18.24394417,Employed and school
2877,Male,"Yes, enrolled in school",11th grade,Your parent's home,1,Extremely important,Yes,Yes,Yes,Yes,Christian or just Christian,Many times a year,,0,No,,Yes,Never,,Never,Never,Never,Yes,Very often,Sometimes,Rarely,Very happy,Strongly agree,Disagree,Rarely,A lot,None,None,Excellent,"$2,000 or Less",No debt,19,26.87022209,In school only
2878,Female,"No, not in school",11th grade,Your parent's home,0,Somewhat,No,No,No,No,,,,0,No,,Yes,Never,,Once a day or more,Once a day or more,Never,Yes,Very often,Fairly often,Never,Very unhappy,Disagree,Agree,Sometimes,A lot,Some,A little,Very good,"$2,000 or Less",No debt,21,28.24265289,No school or work but looking
2879,Male,"Yes, enrolled in school",Two years of college,Another person's home,0,Somewhat,No,No,No,Yes,Non-denominational Protestant,A few times a year,Something else,25,Yes,Three to five days a week,Unsure/Don't know,A few times a week,Five or more times,A few times a week,A few times a year,Once or twice,Yes,Fairly often,Sometimes,Sometimes,Very happy,Agree,Disagree,Sometimes,Some,Some,Some,Good,"$18,001 - $20,000",$201 - $400,22,23.5650959,Employed and school
2881,Male,"No, not in school",Four years of college/grad school,Your parent's home,1,Extremely important,Yes,No,Yes,Yes,Pentecostal,Once a week,,55,Yes,One to two days a week,Yes,A few times a month,Never,Never,Never,Never,No,Very often,Never,Never,Very happy,Strongly agree,Disagree,Rarely,A lot,None,None,Excellent,"$34,001 - $36,000","$8,801 - $9,000",22,24.84303093,Employed
2890,Female,"No, not in school",Two years of college,Your parent's home,0,Somewhat,Yes,No,Yes,Yes,Catholic,A few times a year,,40,No,,Yes,A few times a month,Never,Never,Never,Never,No,Fairly often,Rarely,Never,Somewhat happy,Strongly agree,Agree,Usually,A lot,A little,None,Very good,"$14,001 - $16,000","$801 - $1,000",22,22.31201172,Employed
2893,Female,"No, not in school",12th grade,Another person's home,1,Very,Yes,No,Yes,Yes,Pentecostal,A few times a year,,40,Yes,Several times a day,Yes,A few times a month,Once or twice,Never,A few times a year,Never,Yes,Fairly often,Sometimes,Never,Somewhat happy,Agree,Agree,Never,A lot,A little,None,Good,,$401 - $600,18,20.78204727,Employed
2894,Female,"No, not in school",12th grade,Your own place,1,Very,Yes,Yes,Yes,Yes,Non-denominational Protestant,2-3 times a month,,0,No,,Yes,Never,,Never,Never,Never,No,Sometimes,Very often,Never,Somewhat unhappy,Strongly disagree,Agree,Sometimes,Some,Some,Some,Good,"$14,001 - $16,000",$201 - $400,20,20.30888939,Out of labor force
2896,Male,"No, not in school",11th grade,Your parent's home,0,Somewhat,No,No,No,No,,,Something else,0,Yes,Less than every few weeks,Yes,Never,,Never,Never,Never,No,Fairly often,Never,Never,Somewhat happy,Agree,Disagree,Rarely,A lot,A lot,None,Very good,"$2,000 or Less",No debt,18,27.12191391,No school or work but looking
2898,Male,"No, not in school",10th grade,Your parent's home,1,Somewhat,Yes,Yes,Yes,Yes,Baptist,Many times a year,,0,Yes,Several times a day,Yes,A few times a month,Five or more times,Once a day or more,A few times a week,Three to five times,Yes,Fairly often,Fairly often,Fairly often,Very happy,Strongly agree,Agree,Sometimes,Some,None,None,Fair,"$2,000 or Less",No debt,19,20.74970436,No school or work but looking
2903,Female,"Yes, enrolled in school",One year of college,"Group quarters, like a dorm, sorority, or fraternity house",0,Somewhat,No,No,No,No,,,Something else,0,Yes,About once a day,Yes,Never,,Never,Never,Never,No,Very often,Very often,Sometimes,Somewhat unhappy,Agree,Disagree,Rarely,A lot,None,None,Good,No income,No debt,19,17.70950317,In school only
2904,Female,"Yes, enrolled in school",12th grade,Your parent's home,0,Very,Yes,No,Yes,Yes,Catholic,Once a week,,20,No,,Yes,Never,,Never,Never,Never,No,Very often,Never,Never,Very happy,Strongly agree,Strongly disagree,Never,A lot,None,None,Very good,"$6,001 - $8,000",No debt,19,23.02595139,Employed and school
2910,Male,"Yes, enrolled in school",12th grade,Your own place,0,Extremely important,Yes,Yes,Yes,Yes,Assemblies of God (Assembly of God),More than once a week,,30,Yes,About once a day,Yes,Never,,Never,Never,Once or twice,Yes,Very often,Sometimes,Never,Somewhat happy,Strongly agree,Disagree,Rarely,A lot,A little,None,Very good,"$4,001 - $6,000",No debt,19,25.10216141,Employed and school
2912,Female,"Yes, enrolled in school",One year of college,Your parent's home,0,Very,Yes,No,No,Yes,Baptist,A few times a year,Not religious,0,Yes,Every few weeks,Yes,A few times a year,Never,Never,Never,Never,No,Fairly often,Rarely,Rarely,Very happy,Strongly agree,Strongly disagree,Rarely,A lot,None,None,Very good,No income,No debt,19,18.07529831,In school only
2914,Male,"Yes, enrolled in school",11th grade,Your parent's home,0,Very,Yes,Yes,Yes,Yes,Adventist/Seventh-day Adventist,Once a week,,0,Yes,Every few weeks,Yes,Never,,Never,Never,Three to five times,No,Very often,Fairly often,Fairly often,Somewhat happy,Agree,Disagree,Rarely,A lot,Some,A little,Fair,"$2,000 or Less",No debt,19,17.80915833,In school only
2917,Female,"Yes, enrolled in school",Three years of college,Your own place,0,Not important at all,No,No,No,No,,,Agnostic,20,Yes,Three to five days a week,No,About once a week,Once or twice,Never,Never,Never,Yes,Very often,Never,Never,Somewhat happy,Strongly agree,Disagree,Rarely,A lot,None,None,Excellent,"$4,001 - $6,000",$201 - $400,21,23.62528801,Employed and school
2925,Male,"No, not in school",Two years of college,Your own place,0,Somewhat,No,No,No,Yes,Baptist,A few times a year,,0,Yes,About once a day,Unsure/Don't know,About once a week,Never,Never,Never,Never,No,Sometimes,Sometimes,Rarely,Somewhat unhappy,Strongly agree,Disagree,Sometimes,A lot,A little,A little,Very good,"$6,001 - $8,000",No debt,21,24.34210587,Out of labor force
2934,Male,"Yes, enrolled in school",12th grade,Your parent's home,0,Extremely important,Yes,Yes,Yes,Yes,Protestant,Once a week,,18,Yes,About once a day,Yes,A few times a year,Never,Never,Never,Never,No,Fairly often,Rarely,Never,Very happy,Strongly agree,Strongly disagree,Never,A lot,None,None,Very good,"$2,000 or Less",No debt,19,24.27378082,Employed and school
2945,Male,"No, not in school",6th grade,Your parent's home,0,Extremely important,Yes,Yes,Yes,Yes,Baptist,More than once a week,,0,Yes,Three to five days a week,Yes,Never,,Never,Never,Never,No,Very often,Fairly often,Fairly often,Somewhat unhappy,Strongly disagree,Disagree,Sometimes,A lot,A little,None,Fair,No income,No debt,22,23.09857178,Out of labor force
2949,Male,"No, not in school",12th grade,Your own place,0,Very,Yes,Yes,Yes,Yes,Non-denominational Protestant,A few times a year,,50,Yes,Less than every few weeks,Yes,A few times a month,Once or twice,Never,A few times a year,Three to five times,Yes,Very often,Sometimes,Never,Very happy,Agree,Strongly disagree,Sometimes,A lot,A lot,A little,Fair,"$28,001 - $30,000",$401 - $600,20,25.01492119,Employed
2959,Female,"Yes, enrolled in school",Two years of college,"Group quarters, like a dorm, sorority, or fraternity house",0,Very,No,No,Yes,Yes,Adventist/Seventh-day Adventist,Once a week,,9,Yes,Three to five days a week,Yes,Never,,Never,Never,Never,No,Very often,Sometimes,Rarely,Somewhat happy,Agree,Agree,Sometimes,Some,Some,A little,Good,"$2,001 - $4,000",No debt,20,20.35865402,Employed and school
2963,Female,"No, not in school",One year of vocational/technical school,Your parent's home,0,Extremely important,Yes,No,Yes,Yes,Christian or just Christian,A few times a year,,40,Yes,Every few weeks,Yes,About once a week,Three or four times,Once a day or more,A few times a month,Once or twice,Yes,Very often,Sometimes,Never,Very happy,Agree,Agree,Rarely,A lot,None,None,Good,"$14,001 - $16,000",$200 or less,20,22.88699913,Employed
2973,Female,"No, not in school",Three years of college,Another person's home,0,Not very,No,No,No,No,,,Not religious,40,Yes,About once a day,Yes,A few times a month,Once or twice,Never,Never,Never,No,Very often,Rarely,Never,Neither,Agree,Strongly disagree,Never,A lot,None,None,Very good,"$20,001 - $22,000","$1,401 - $1,600",21,29.9502964,Employed
2983,Male,"No, not in school",12th grade,Your parent's home,1,Somewhat,No,No,No,Yes,Non-denominational Protestant,A few times a year,Something else,40,Yes,About once a day,Yes,About once a month,Once or twice,Never,Never,Never,No,Fairly often,Sometimes,Never,Very happy,Strongly agree,Disagree,Rarely,A lot,None,A little,Excellent,"$6,001 - $8,000","$2,801 - $3,000",19,23.49075508,Active armed forces
2984,Male,"No, not in school",Two years of college,Your own place,1,Very,Yes,Yes,Yes,Yes,Baptist,More than once a week,,40,Yes,Every few weeks,Yes,A few times a month,Never,Never,Never,Never,Yes,Very often,Fairly often,Never,Somewhat unhappy,Agree,Disagree,Rarely,A lot,None,None,Good,"$28,001 - $30,000","$1,801 - $2,000",21,33.9613533,Employed
2995,Female,"Yes, enrolled in school",Three years of college,Your own place,2,Extremely important,Yes,Yes,Yes,Yes,Baptist,A few times a year,,24,Yes,One to two days a week,Yes,About once a month,Never,Never,Never,Never,Yes,Very often,Fairly often,Never,Somewhat unhappy,Agree,Disagree,Sometimes,Some,Some,None,Very good,"$8,001 - $10,000","$801 - $1,000",21,21.03147697,Employed and school
3002,Male,"Yes, enrolled in school",Three years of college,Your own place,0,Extremely important,Yes,Yes,Yes,Yes,Presbyterian,Once a week,,0,Yes,Several times a day,Yes,Never,,Never,Never,Never,Yes,Very often,Fairly often,Never,Somewhat happy,Agree,Strongly disagree,Rarely,A lot,A little,None,Very good,"$2,000 or Less",No debt,22,31.45270348,In school only
3004,Female,"No, not in school",12th grade,Your own place,0,Not important at all,No,No,No,No,,,Not religious,0,Yes,Several times a day,Unsure/Don't know,A few times a year,Never,Never,Never,Once or twice,Yes,Very often,Fairly often,Fairly often,Somewhat unhappy,Agree,Agree,Usually,Some,Some,None,Very good,"$10,001 - 12,000",No debt,19,33.46801758,Out of labor force
3009,Female,"Yes, enrolled in school",Two years of college,Your own place,2,Very,Yes,Yes,Yes,Yes,Non-denominational Protestant,Many times a year,,0,Yes,About once a day,Yes,About once a month,Never,A few times a month,Never,Once or twice,Yes,Sometimes,Very often,Sometimes,Very unhappy,Strongly disagree,Strongly agree,Sometimes,Some,A lot,A little,Fair,"$12,001 - $14,000","$801 - $1,000",19,43.89178085,In school only
3015,Male,"No, not in school",10th grade,Your parent's home,5,Extremely important,Yes,No,No,No,,,,25,Yes,Every few weeks,Yes,A few times a week,Five or more times,Once a day or more,Never,More than five times,Yes,Sometimes,Very often,Sometimes,Very unhappy,Disagree,Agree,Sometimes,A lot,Some,Some,Very good,"$2,001 - $4,000",No debt,19,25.80263138,Employed
3019,Male,"Yes, enrolled in school",11th grade,Your parent's home,1,Very,Yes,Yes,Yes,Yes,Baptist,A few times a year,,0,Yes,One to two days a week,Yes,About once a week,Five or more times,Once a day or more,Once a day or more,More than five times,Yes,Sometimes,Sometimes,Rarely,Very happy,Agree,Disagree,Never,A lot,A little,A little,Very good,"$6,001 - $8,000",$200 or less,19,27.89129066,In school only
3026,Female,"Yes, enrolled in school",Two years of college,Your parent's home,0,Very,Yes,Yes,Yes,Yes,Baptist,2-3 times a month,,20,Yes,Every few weeks,Yes,Never,,Never,Never,Once or twice,No,Very often,Rarely,Rarely,Neither,Strongly agree,Disagree,Rarely,A lot,A little,None,Very good,"$8,001 - $10,000",$201 - $400,20,28.33963203,Employed and school
3032,Female,"Yes, enrolled in school",One year of college,"Group quarters, like a dorm, sorority, or fraternity house",0,Extremely important,Yes,Yes,Yes,Yes,Pentecostal,More than once a week,,23,Yes,About once a day,Yes,Never,,Never,Never,Never,No,Sometimes,Sometimes,Never,Somewhat happy,Strongly agree,Agree,Rarely,A lot,A little,A little,Very good,"$16,001 - $18,000","$1,401 - $1,600",20,32.22083282,Employed and school
3035,Male,"Yes, enrolled in school",One year of vocational/technical school,Another person's home,0,Not important at all,No,No,No,No,,,Not religious,7,Yes,Less than every few weeks,Yes,Never,,Once a day or more,Never,Never,No,Very often,Sometimes,Never,Very happy,Strongly agree,Strongly disagree,Never,A lot,None,None,Excellent,,$401 - $600,20,40.60596466,Employed and school
3050,Male,"No, not in school",11th grade,Your parent's home,1,Somewhat,Yes,Yes,No,Yes,Non-denominational Protestant,A few times a year,Agnostic,30,Yes,One to two days a week,Yes,Never,,A few times a week,Never,Never,No,Rarely,Sometimes,Never,Somewhat unhappy,Agree,Disagree,Never,A lot,Some,Some,Good,"$10,001 - 12,000",No debt,19,39.52854538,Employed
3053,Female,"Yes, enrolled in school",Three years of college,Your parent's home,0,Extremely important,Yes,Yes,Yes,Yes,Church of Christ (Churches of Christ),Once a week,,25,Yes,About once a day,Yes,A few times a year,Never,Never,Never,Never,Yes,Very often,Sometimes,Sometimes,Very happy,Agree,Agree,Rarely,A lot,Some,Some,Very good,"$8,001 - $10,000",No debt,21,23.43333244,Employed and school
3058,Female,"Yes, enrolled in school",Two years of college,Your own place,0,Somewhat,No,No,No,Yes,Catholic,2-3 times a month,,40,Yes,Every few weeks,Yes,Never,,Never,Never,Once or twice,Yes,Very often,Never,Never,Somewhat happy,Agree,Disagree,Rarely,A lot,Some,A little,Good,"$30,001 - $32,000","$4,801 - $5,000",20,24.45940781,Employed and school
3061,Female,"Yes, enrolled in school",12th grade,Your parent's home,0,Somewhat,No,Yes,No,Yes,Catholic,A few times a year,,0,Yes,One to two days a week,Yes,A few times a month,Once or twice,Never,Never,Never,Yes,Very often,Rarely,Never,Somewhat happy,Strongly agree,Strongly disagree,Rarely,A lot,None,None,Good,No income,"$4,801 - $5,000",22,30.40657425,In school only
3067,Male,"No, not in school",12th grade,Another person's home,1,Very,Yes,Yes,No,Yes,Baptist,2-3 times a month,,45,Yes,About once a day,Yes,Never,,Never,Never,Never,Yes,Very often,Never,Never,Very happy,Strongly agree,Strongly disagree,Rarely,A lot,A little,None,Very good,"$34,001 - $36,000",No debt,18,32.68190765,Employed
3068,Male,"No, not in school",12th grade,Another person's home,1,Very,No,No,No,Yes,Baptist,Many times a year,Not religious,0,Yes,About once a day,Yes,About once a month,Once or twice,Once a day or more,A few times a week,Once or twice,No,Fairly often,Sometimes,Sometimes,Very happy,Disagree,Agree,Rarely,Some,A little,Some,Good,"$4,001 - $6,000",No debt,20,26.9594593,No school or work but looking
3070,Female,"Yes, enrolled in school",Four years of college/grad school,Your own place,0,Somewhat,No,Yes,No,No,,,Something else,0,Yes,One to two days a week,Yes,A few times a month,Never,Never,Never,Never,Yes,Fairly often,Rarely,Fairly often,Somewhat happy,Agree,Agree,Rarely,A lot,None,None,Very good,"$2,001 - $4,000",No debt,23,20.36911011,In school only
3071,Male,"No, not in school",11th grade,Your parent's home,0,Somewhat,No,Yes,No,No,,,Not religious,20,No,,Yes,A few times a month,Never,Once a day or more,Once a day or more,Once or twice,Yes,Very often,Fairly often,Never,Very happy,Agree,Disagree,Rarely,A lot,A little,None,Good,"$6,001 - $8,000",No debt,20,17.43205643,Employed
3072,Female,"Yes, enrolled in school",Three years of college,Your own place,1,Not important at all,No,No,No,No,,,Agnostic,0,Yes,Every few weeks,No,About once a month,Never,Never,A few times a year,Never,No,Sometimes,Sometimes,Rarely,Very happy,Strongly agree,Disagree,Rarely,A lot,None,None,Very good,"$2,000 or Less",No debt,19,20.17332458,In school only
3073,Male,"Yes, enrolled in school",Three years of college,Your own place,0,Very,No,No,Yes,Yes,Church of the Nazarene,Many times a year,,15,Yes,Several times a day,Yes,A few times a month,Once or twice,Never,Never,Never,Yes,Very often,Sometimes,Sometimes,Very happy,Agree,Disagree,Sometimes,A lot,A little,None,Very good,"$2,000 or Less",No debt,22,21.10714912,Employed and school
3078,Female,"Yes, enrolled in school",Three years of college,Your own place,2,Somewhat,No,No,No,Yes,Roman Catholic,A few times a year,,15,Yes,Three to five days a week,Yes,A few times a month,Once or twice,Never,Never,Never,Yes,Fairly often,Sometimes,Rarely,Somewhat happy,Agree,Disagree,Sometimes,Some,A little,A little,Good,"$6,001 - $8,000","$801 - $1,000",21,26.56840515,Employed and school
3084,Male,"No, not in school",12th grade,Your own place,0,Somewhat,Yes,Yes,Yes,Yes,Baptist,2-3 times a month,,80,Yes,Less than every few weeks,Yes,A few times a month,Once or twice,About once a month,Never,Never,Yes,Very often,Never,Never,Very happy,Agree,Disagree,Sometimes,A lot,None,None,Excellent,"$28,001 - $30,000",No debt,21,27.12191391,Employed
3090,Female,"No, not in school",12th grade,Your parent's home,1,Extremely important,Yes,No,Yes,Yes,Jehovah's Witness (Kingdom Hall),More than once a week,,40,Yes,One to two days a week,Yes,A few times a year,Never,Never,Never,Once or twice,Yes,Very often,Very often,Fairly often,Somewhat unhappy,Strongly disagree,Strongly agree,Sometimes,Some,Some,Some,Poor,"$30,001 - $32,000","$7,801 - $8,000",21,32.0749855,Employed
3091,Male,"No, not in school",12th grade,Your parent's home,0,Not very,No,No,No,No,,,Not religious,40,Yes,Three to five days a week,Yes,About once a month,Never,Never,Never,Once or twice,No,Sometimes,Rarely,Rarely,Somewhat unhappy,Agree,Agree,Rarely,A lot,Some,Some,Very good,"$2,001 - $4,000","$1,801 - $2,000",19,21.28460121,Employed
3099,Male,"Yes, enrolled in school",12th grade,"Group quarters, like a dorm, sorority, or fraternity house",0,Very,Yes,Yes,Yes,Yes,Lutheran,2-3 times a month,,0,Yes,Several times a day,Yes,A few times a month,Never,Never,Never,Never,Yes,Rarely,Rarely,Never,Somewhat happy,Agree,Strongly disagree,Rarely,A lot,A little,None,Very good,"$4,001 - $6,000",No debt,18,30.81081009,In school only
3100,Male,"Yes, enrolled in school",One year of college,"Group quarters, like a dorm, sorority, or fraternity house",1,Extremely important,Yes,Yes,Yes,Yes,Roman Catholic,2-3 times a month,,50,Yes,Every few weeks,Yes,A few times a week,Three or four times,A few times a week,Never,Once or twice,Yes,Very often,Sometimes,Never,Somewhat happy,Agree,Agree,Sometimes,A lot,None,None,Excellent,"$28,001 - $30,000",No debt,20,26.17264748,Active armed forces
3103,Female,"No, not in school",12th grade,Your own place,2,Not very,No,No,No,No,,,Not religious,35,No,,No,Never,,Never,Never,Three to five times,Yes,Fairly often,Rarely,Never,Neither,Agree,Disagree,Usually,Some,A little,None,Fair,"$8,001 - $10,000",No debt,19,20.36911011,Employed
3109,Male,"No, not in school",12th grade,Your parent's home,0,Very,Yes,Yes,Yes,Yes,Catholic,Once a week,,40,Yes,One to two days a week,Yes,Never,,Never,Never,Never,Yes,Very often,Never,Never,Very happy,Strongly agree,Strongly disagree,Never,A lot,None,None,Excellent,,No debt,18,22.42634583,Employed
3114,Male,"Yes, enrolled in school",Three years of college,Your own place,0,Not very,No,No,No,Yes,Baptist,A few times a year,,50,No,,Yes,About once a week,Once or twice,Never,Never,Never,No,Very often,Rarely,Never,Very happy,Agree,Disagree,Never,A lot,None,None,Excellent,"$34,001 - $36,000","$801 - $1,000",20,28.44911766,Employed and school
3115,Male,"Yes, enrolled in school",11th grade,Your parent's home,0,Somewhat,No,No,No,Yes,Latter-day Saint(s),Once a week,Not religious,15,Yes,Less than every few weeks,Yes,A few times a year,Never,Never,A few times a year,Never,No,Very often,Rarely,Never,Very happy,Agree,Disagree,Never,Some,Some,None,Excellent,"$2,000 or Less",No debt,18,24.40488052,Employed and school
3116,Male,"No, not in school",12th grade,Another person's home,0,Somewhat,Yes,Yes,No,Yes,Mormon,2-3 times a month,,40,Yes,Three to five days a week,Yes,A few times a month,Once or twice,A few times a year,Never,Once or twice,No,Fairly often,Sometimes,Never,Somewhat happy,Strongly agree,Strongly disagree,Rarely,A lot,A little,None,Very good,"$22,001 - $24,000","$10,001 or more",18,24.40488052,Employed
3125,Male,"No, not in school",10th grade,Your parent's home,0,Not important at all,No,No,No,No,,,Not religious,40,No,,Unsure/Don't know,A few times a year,Once or twice,Never,Never,Never,Yes,Rarely,Never,Sometimes,Somewhat happy,Agree,Strongly agree,Sometimes,A lot,A little,None,Fair,"$16,001 - $18,000",No debt,19,23.67244911,Employed
3129,Male,"No, not in school",12th grade,Your own place,2,Very,Yes,No,Yes,Yes,Non-denominational Protestant,Many times a year,,30,Yes,One to two days a week,Yes,A few times a month,Once or twice,Once a day or more,About once a week,Never,Yes,Sometimes,Sometimes,Never,Somewhat happy,Agree,Disagree,Rarely,A lot,A little,None,Good,"$28,001 - $30,000","$4,801 - $5,000",22,25.84558868,Employed
3133,Male,"No, not in school",12th grade,Your parent's home,1,Not important at all,No,No,No,No,,,Something else,35,Yes,Less than every few weeks,Yes,A few times a month,Never,Never,Never,Never,No,Sometimes,Sometimes,Rarely,Somewhat happy,Disagree,Disagree,Sometimes,A lot,Some,A little,Good,,$201 - $400,21,38.3388176,Employed
3134,Male,"Yes, enrolled in school",Four years of college/grad school,Another person's home,1,Not important at all,Yes,No,Yes,Yes,Baptist,More than once a week,Not religious,14,Yes,About once a day,Yes,About once a week,Once or twice,Never,Never,Once or twice,No,Very often,Sometimes,Rarely,Very happy,Strongly agree,Strongly disagree,Rarely,A lot,None,None,Poor,"$4,001 - $6,000",$601 - $800,22,22.95510292,Employed and school
3135,Female,Home schooled,11th grade,Your own place,4,Somewhat,No,No,No,No,,,,40,Yes,One to two days a week,Yes,A few times a week,Three or four times,Once a day or more,A few times a week,Never,No,Very often,Very often,Very often,Somewhat happy,Disagree,Agree,Sometimes,Some,A little,None,Fair,"$8,001 - $10,000",No debt,18,25.67567635,Employed and school
3138,Male,"Yes, enrolled in school",One year of college,Your own place,1,Not important at all,No,No,No,No,,,,40,Yes,Several times a day,Unsure/Don't know,About once a week,Never,A few times a month,Never,Never,Yes,Very often,Never,Rarely,Very happy,Agree,Agree,Rarely,Some,A little,None,Very good,"$50,001 or more","$1,801 - $2,000",22,23.01031494,Employed and school
3148,Female,"Yes, enrolled in school",12th grade,Your parent's home,2,Very,No,No,No,Yes,Catholic,Once a week,,10,No,,Yes,About once a week,Once or twice,About once a week,Once a day or more,Never,No,Fairly often,Sometimes,Sometimes,Somewhat happy,Disagree,Agree,Sometimes,A lot,A lot,A lot,Good,"$2,001 - $4,000",No debt,18,21.92470551,Employed and school
3152,Male,"No, not in school",12th grade,Your parent's home,0,Somewhat,Yes,No,No,Yes,Christian or just Christian,Many times a year,,44,Yes,About once a day,Yes,A few times a year,Once or twice,Never,Never,Never,No,Fairly often,Sometimes,Never,Very happy,Disagree,Strongly disagree,Never,Some,A lot,None,Good,"$28,001 - $30,000",No debt,21,32.60986328,Employed
3154,Female,"Yes, enrolled in school",12th grade,Your parent's home,0,Very,Yes,Yes,No,Yes,Baptist,Once a month,,8,Yes,Every few weeks,Yes,Never,,Never,Never,Never,No,Never,Never,Never,Very happy,Agree,Disagree,Never,A lot,None,None,Very good,"$2,000 or Less",$201 - $400,21,23.49075508,Employed and school
3155,Female,"No, not in school",12th grade,Your own place,2,Somewhat,No,No,No,No,,,,0,Yes,Several times a day,Yes,A few times a month,Once or twice,Never,Never,Never,No,Very often,Sometimes,Rarely,Somewhat unhappy,Strongly agree,Strongly disagree,Sometimes,A lot,A little,None,Very good,"$8,001 - $10,000",No debt,20,30.99647331,No school or work but looking
3161,Male,"Yes, enrolled in school",Three years of college,Your own place,0,Not important at all,No,No,No,No,,,Not religious,15,Yes,About once a day,Unsure/Don't know,A few times a week,Once or twice,About once a week,A few times a month,Never,No,Very often,Fairly often,Rarely,Neither,Disagree,Disagree,Sometimes,Some,Some,None,Very good,"$4,001 - $6,000",No debt,21,24.99555588,Employed and school
3163,Male,"No, not in school",12th grade,"Group quarters, like a dorm, sorority, or fraternity house",1,Very,No,No,No,Yes,Catholic,A few times a year,,100,Yes,Every few weeks,Yes,A few times a week,Five or more times,A few times a month,Never,Never,Yes,Very often,Rarely,Never,Somewhat happy,Strongly agree,Agree,Rarely,A lot,A lot,None,Fair,"$24,001 - $26,000","$801 - $1,000",21,25.84016037,Active armed forces
